Original_Variable,New_Variable
AADT,AADT
AgeStudyStart,AgeStudyStart
AgeStudyStart2,AgeStudyStart2
Albuterol,AlbuterolRx
AlcoholDependenceDx,AlcoholDependenceDx
AlopeciaDx,AlopeciaDx
Androstenedione,AndrostenedioneRx
AnxietyDx,AnxietyDx
Arformoterol,ArformoterolRx
AsthmaDx,AsthmaDx
AutismDx,AutismDx
AvgDailyAcetaldehydeExposure_2,AvgDailyAcetaldehydeExposure_2
AvgDailyAcetaldehydeExposure_2_qcut,AvgDailyAcetaldehydeExposure_2_qcut
AvgDailyBenzeneExposure_2,AvgDailyBenzeneExposure_2
AvgDailyBenzeneExposure_2_qcut,AvgDailyBenzeneExposure_2_qcut
AvgDailyCOExposure_2,AvgDailyCOExposure_2
AvgDailyCOExposure_2_qcut,AvgDailyCOExposure_2_qcut
AvgDailyFormaldehydeExposure_2,AvgDailyFormaldehydeExposure_2
AvgDailyFormaldehydeExposure_2_qcut,AvgDailyFormaldehydeExposure_2_qcut
AvgDailyNO2Exposure_2,AvgDailyNO2Exposure_2
AvgDailyNO2Exposure_2_qcut,AvgDailyNO2Exposure_2_qcut
AvgDailyNOExposure_2,AvgDailyNOExposure_2
AvgDailyNOExposure_2_qcut,AvgDailyNOExposure_2_qcut
AvgDailyNOxExposure_2,AvgDailyNOxExposure_2
AvgDailyNOxExposure_2_qcut,AvgDailyNOxExposure_2_qcut
AvgDailyOzoneExposure,AvgDailyOzoneExposure
AvgDailyOzoneExposure_StudyAvg,AvgDailyOzoneExposure_StudyAvg
AvgDailyOzoneExposure_StudyMax,AvgDailyOzoneExposure_StudyMax
AvgDailyPM2.5Exposure,AvgDailyPM2.5Exposure
AvgDailyPM2.5Exposure_2,AvgDailyPM2.5Exposure_2
AvgDailyPM2.5Exposure_2_qcut,AvgDailyPM2.5Exposure_2_qcut
AvgDailyPM2.5Exposure_StudyAvg,AvgDailyPM2.5Exposure_StudyAvg
AvgDailyPM2.5Exposure_StudyMax,AvgDailyPM2.5Exposure_StudyMax
AvgDailySO2Exposure_2,AvgDailySO2Exposure_2
AvgDailySO2Exposure_2_qcut,AvgDailySO2Exposure_2_qcut
Beclomethasone,BeclomethasoneRx
BMI_CATEGORY,BMI_CATEGORY
Budesonide,BudesonideRX
CervicalCancerDx,CervicalCancerDx
Cetirizine,CetirizineRx
Ciclesonide,CiclesonideRx
Citalopram,CitalopramRx
CoughDx,CoughDx
CroupDx,CroupDx
CURRENT_AGE,CURRENT_AGE
CURRENT_AGE2,CURRENT_AGE2
D28_ASTHMA,D28_ASTHMA
D28A_ASTHMA_AD_TEXT,D28A_ASTHMA_AD_TEXT
D28A_ASTHMA_AD_TEXT2,D28A_ASTHMA_AD_TEXT2
D28B_STILL_HAVE_ASTHMA,D28B_STILL_HAVE_ASTHMA
D28C_ASTHMA_EPISODE_12M,D28C_ASTHMA_EPISODE_12M
D28D_ASTHMA_ER_VISIT_12M,D28D_ASTHMA_ER_VISIT_12M
D28D_ASTHMA_ER_VISIT_12M_2,D28D_ASTHMA_ER_VISIT_12M_2
D28E_ASTHMA_MED_TAKE_12M,D28E_ASTHMA_MED_TAKE_12M
D28F_ASTHMA_14D_NUM_NIGHTS_TEXT,D28F_ASTHMA_14D_NUM_NIGHTS_TEXT
D28G_ASTHMA_14D_LIMIT_DAYS_TEXT,D28G_ASTHMA_14D_LIMIT_DAYS_TEXT
D28H_ASTHMA_14D_NUM_WHEEZE_TEXT,D28H_ASTHMA_14D_NUM_WHEEZE_TEXT
DepressionDx,DepressionDx
DiabetesDx,DiabetesDx
Diphenhydramine,DiphenhydramineDx
DISTANCE,DISTANCE
DISTANCE2,DISTANCE2
DrugDependenceDx,DrugDependenceDx
Duloxetine,DuloxetineRx
EndometriosisDx,EndometriosisDx
Escitalopram,EscitalopramRx
EstHouseholdIncome,EstHouseholdIncome
EstProbabilityESL,EstProbabilityESL
EstProbabilityHighSchoolMaxEducation,EstProbabilityHighSchoolMaxEducation
EstProbabilityHouseholdNonHispWhite,EstProbabilityHouseholdNonHispWhite
EstProbabilityNoAuto,EstProbabilityNoAuto
EstProbabilityNoHealthIns,EstProbabilityNoHealthIns
EstProbabilityNonHispWhite,EstProbabilityNonHispWhite
ESTPROPHOUSEHOLDSNOAUTO_cut,ESTPROPHOUSEHOLDSNOAUTO_cut
ESTPROPHOUSEHOLDSNOAUTO_qcut,ESTPROPHOUSEHOLDSNOAUTO_qcut
ESTPROPPERSONS5PLUSNOENGLISH_cut,ESTPROPPERSONS5PLUSNOENGLISH_cut
ESTPROPPERSONS5PLUSNOENGLISH_qcut,ESTPROPPERSONS5PLUSNOENGLISH_qcut
ESTPROPPERSONS25PLUSHSMAX_cut,ESTPROPPERSONS25PLUSHSMAX_cut
ESTPROPPERSONS25PLUSHSMAX_qcut,ESTPROPPERSONS25PLUSHSMAX_qcut
ESTPROPPERSONSNOHEALTHINS_cut,ESTPROPPERSONSNOHEALTHINS_cut
ESTPROPPERSONSNOHEALTHINS_qcut,ESTPROPPERSONSNOHEALTHINS_qcut
ESTPROPPERSONSNONHISPWHITE_cut,ESTPROPPERSONSNONHISPWHITE_cut
ESTPROPPERSONSNONHISPWHITE_qcut,ESTPROPPERSONSNONHISPWHITE_qcut
Estradiol,EstradiolRx
EstResidentialDensity,EstResidentialDensity
EstResidentialDensity25Plus,EstResidentialDensity25Plus
Estrogen,EstrogenRx
Estropipate,EstropipateRx
ESTTOTALPOP,ESTTOTALPOP
ESTTOTALPOP25PLUS_cut,ESTTOTALPOP25PLUS_cut
ESTTOTALPOP25PLUS_qcut,ESTTOTALPOP25PLUS_qcut
Ethnicity,Ethnicity
ETHNICITY,ETHNICITY
Fexofenadine,FexofenadineRx
FibromyalgiaDx,FibromyalgiaDx
Flunisolide,FlunisolideRx
Fluoxetine,FluoxetineRx
Fluticasone,FluticasoneRx
Formoterol,FormoterolRx
GENDER,GENDER
Goserelin,GoserelinRx
Histrelin,HistrelinRx
Hydroxyzine,HydroxyzineRx
IN_EPR,IN_EPR
IN_FINAL_SAMPLE,IN_FINAL_SAMPLE
IN_ICEES,IN_ICEES
IN_ICEES_AND_EPR,IN_ICEES_AND_EPR
Indacaterol,IndacaterolRx
Ipratropium,IpratropiumRx
KidneyCancerDx,KidneyCancerDx
Leuprolide,LeuprolideRx
MajorRoadwayHighwayExposure,MajorRoadwayHighwayExposure
MajorRoadwayHighwayExposure2,MajorRoadwayHighwayExposure2
MaxDailyOzoneExposure,MaxDailyOzoneExposure
MaxDailyOzoneExposure_2,MaxDailyOzoneExposure_2
MaxDailyOzoneExposure_2_qcut,MaxDailyOzoneExposure_2_qcut
MaxDailyOzoneExposure_StudyAvg,MaxDailyOzoneExposure_StudyAvg
MaxDailyOzoneExposure_StudyMax,MaxDailyOzoneExposure_StudyMax
MaxDailyPM2.5Exposure,MaxDailyPM2.5Exposure
MaxDailyPM2.5Exposure_StudyAvg,MaxDailyPM2.5Exposure_StudyAvg
MaxDailyPM2.5Exposure_StudyMax,MaxDailyPM2.5Exposure_StudyMax
MEDIANHOUSEHOLDINCOME_cut,MEDIANHOUSEHOLDINCOME_cut
MEDIANHOUSEHOLDINCOME_qcut,MEDIANHOUSEHOLDINCOME_qcut
Medroxyprogresterone,MedroxyprogresteroneRx
MenopauseDx,MenopauseDx
Mepolizumab,MepolizumabRx
Metaproterenol,MetaproterenolRx
Mometasone,MometasoneRx
Nandrolone,NandroloneRx
O3_ANNUAL_AVERAGE_cut,O3_ANNUAL_AVERAGE_cut
O3_ANNUAL_AVERAGE_qcut,O3_ANNUAL_AVERAGE_qcut
O3_N_OBS,O3_N_OBS
ObesityBMI,ObesityBMI
ObesityDx,ObesityDx
Omalizumab,OmalizumabRx
ORIGINAL_ANALYTIC_SAMPLE,ORIGINAL_ANALYTIC_SAMPLE
OvarianCancerDx,OvarianCancerDx
OvarianDysfunctionDx,OvarianDysfunctionDx
Paroxetine,ParoxetineRx
PM25_ANNUAL_AVERAGE_cut,PM25_ANNUAL_AVERAGE_cut
PM25_ANNUAL_AVERAGE_qcut,PM25_ANNUAL_AVERAGE_qcut
PM25_N_OBS,PM25_N_OBS
PneumoniaDx,PneumoniaDx
Prasterone,PrasteroneRx
Prednisone,PrednisoneRx
PregnancyDx,PregnancyDx
Progesterone,ProgesteroneRx
Propranolol,PropranololRx
ProstateCancerDx,ProstateCancerDx
QXAGE,QXAGE
QXAGE2,QXAGE2
Race,Race
RACE,RACE
ReactiveAirwayDx,ReactiveAirwayDx
RESPONDER_STATUS,RESPONDER_STATUS
ROADTYPE,ROADTYPE
RoadwayAADT,RoadwayAADT
RoadwayDistanceExposure,RoadwayDistanceExposure
RoadwayDistanceExposure2,RoadwayDistanceExposure2
RoadwayLanes,RoadwayLanes
RoadwaySpeedLimit,RoadwaySpeedLimit
RoadwayType,RoadwayType
S177_SMOKE_100_CIG_LIFETIME,S177_SMOKE_100_CIG_LIFETIME
Salmeterol,SalmeterolRx
Sertraline,SertralineRx
Sex,Sex
Sex2,Sex2
SMOKE_CAT,SMOKE_CAT
SNP1,SNP1
SNP2,SNP2
SNP3,SNP3
SNP4,SNP4
SPEED,SPEED
Tamoxifen,TamoxifenRx
TesticularCancerDx,TesticularCancerDx
TesticularDysfunctionDx,TesticularDysfunctionDx
Testosterone,TestosteroneRx
Theophylline,TheophyllineRx
THROUGH_LANES,THROUGH_LANES
TLR4_AGE,TLR4_AGE
TLR4_AGE2,TLR4_AGE2
TLR4_DIST_1X_cut,TLR4_DIST_1X_cut
TLR4_DIST_1X_qcut,TLR4_DIST_1X_qcut
TLR4_DIST_2X_cut,TLR4_DIST_2X_cut
TLR4_DIST_2X_qcut,TLR4_DIST_2X_qcut
TLR4_DIST_3X_cut,TLR4_DIST_3X_cut
TLR4_DIST_3X_qcut,TLR4_DIST_3X_qcut
TotalEDInpatientVisits,TotalEDInpatientVisits
TotalEDVisits,TotalEDVisits
TotalInpatientVisits,TotalInpatientVisits
Trazodone,TrazodoneRx
Triptorelin,TriptorelinRx
ur,ur
UterineCancerDx,UterineCancerDx
Venlafaxine,VenlafaxineRx
year,year
